abelo        : пчела
anonci       : извещать, объявлять
anonima      : анонимный, безымянный
ansero       : гусь
anstataux    : вместо, взамен
antaux       : перед (о времени или пространстве)
anteno       : антенна
anticipi     : делать заранее, предвосхищать
antikva      : старинный, античный
antipatio    : неприязнь, антипатия
antitezo     : противопоставление
antologio    : антология
aparato      : прибор, аппарат
aparta       : особенный, отдельный
apartamento  : квартира
aparteni     : принадлежать
apelacii     : апеллировать, обращаться
apeli        : апеллировать, обращаться
apenaux      : едва, еле, почти
aperi        : возникать, появляться
aperta       : открытый
apetito      : аппетит
aplaudi      : аплодировать, одобрять
apliki       : пользоваться, применять
aplombo      : самоуверенность
apogi        : поддерживать, подпирать
apopleksio   : инсульт
aprilo       : апрель
apriora      : априорный
apro         : дикий кабан
aprobi       : принимать, соглашаться
apud         : возле, около
araneo       : паук
arangxi      : привести в порядок; устроить
arbitra      : произвольный
arbo         : дерево
arbusto      : куст
arcxo        : смычок
arda         : горячий, раскаленный; пылкий, страстный
areno        : арена
aresti       : арестовать
argumento    : довод, аргумент
argxento     : серебро
ario         : ария
aristokrato  : аристократ
arkitekto    : архитектор
arkivo       : архив
arko         : арка, дуга
armeo        : армия
armi         : вооружать
aroganta     : наглый
arogi        : присваивать
aromo        : аромат
arterio      : артерия, магистраль
artifiko     : ловкость; ухищрение
artiko       : сустав
artikolo     : статья, артикль
arto         : искусство
ascendi      : восходить, подниматься
aserti       : уверять, утверждать
asfalto      : асфальт
asigni       : ассигновать
asimili      : уподоблять; усваивать
asisti       : помогать, ассистировать
asocio       : общество, ассоциация
asonanso     : созвучие
aspekti      : выглядеть, иметь вид
aspiranturo  : аспирантура
aspiri       : желать, стремиться; претендовать
astronomio   : астрономия
ataki        : атаковать, нападать
atenci       : посягать, покушаться
atendi       : ждать
atenta       : внимательный
atesti       : свидетельствовать
atingi       : достигать, добираться
atlaso       : атлас
atmosfero    : атмосфера
atomo        : атом
atribui      : приписывать, присуждать, присваивать
aux          : или, либо
auxdaca      : решительный; смелый
auxdi        : слышать
auxguro      : предзнаменование; предсказание
auxgusto     : август
auxroro      : утренняя заря
auxskulti    : слушать
auxtenta     : подлинный
auxtentika   : подлинный
auxto        : автомобиль
auxtobiografio : автобиография
auxtobuso    : автобус
auxtografo   : автограф
auxtomato    : автомат
auxtomobilo  : автомобиль
auxtonoma    : автономный
auxtoritato  : авторитет
auxtoritatoj : власти
auxtoro      : автор
auxtuno      : осень
avantagxo    : преимущество
avara        : скупой
aventuro     : авантюра; приключение
avenuo       : проспект
averagxo     : средняя величина
averti       : предупреждать
aviado       : авиация
avida        : алчный, жадный
avizo        : извещение, уведомление
avo          : дед, дедушка
azeno        : осёл
azilo        : приют, убежище
babili       : непринужденно беседовать
bagatelo     : мелочь, пустяк
bakhxanalio  : вакханалия
baki         : печь
balado       : баллада
balai        : мести, подметать
balanci      : колебаться, раскачивать
balbuti      : лепетать, запинаться
baldaux      : вскоре, скоро
balkono      : балкон
balo         : бал
balono       : баллон; шар
balzamo      : бальзам
banala       : банальный
bandito      : бандит
bando        : банда, шайка; клика
bani         : купать
bankedo      : банкет
banko        : банк
bankroti     : обанкротиться
barakti      : барахтаться; метаться; трепетать
barbaro      : варвар
barbo        : борода
bardo        : бард
bareliefo    : барельеф
barelo       : бочка
barko        : барка, баркас
baro         : преграда, препятствие
baseno       : бассейн
basko        : пола
bastiono     : оплот, бастион
bastono      : палка, трость
batali       : бороться, драться
bati         : бить, ударять
bauxmi       : встать на дыбы
bazo         : база, основа, фундамент
beata        : безмятежный, блаженный
bebo         : младенец, малютка
bedauxri     : жалеть, огорчаться
bela         : красивый, прекрасный
beletro      : художественная литература
bendo        : лента
benko        : скамейка
beno         : благословение; счастье
benzino      : бензин
bero         : ягода
besto        : животное
betono       : бетон
betulo       : берёза
bezoni       : нуждаться
biblio       : библия
biblioteko   : библиотека
biciklo      : велосипед
bieno        : имение, поместье
biero        : пиво
bilanco      : баланс
bildo        : картина
bileto       : билет
biografio    : биография
birdo        : птица
blanka       : белый
blasfemi     : сквернословить
bleki        : мычать, кричать
blinda       : незрячий, слепой
blonda       : белокурый
blovi        : дуть
blua         : голубой, синий
boato        : лодка
boji         : лаять
boli         : кипеть
bombasta     : высокопарный
bombo        : бомба
bombono      : конфета
bona         : хороший, доброкачественный
bordero      : бордюр
bordo        : берег
bori         : бурить, сверлить
botelo       : бутыль
boto         : сапог
bovo         : бык
brako        : рука (выше кисти)
brancxo      : ветвь, ветка; отрасль
brava        : отличный; смелый
bravuro      : бравурность
brecxo       : брешь; прорезь; ущерб
bremso       : тормоз
breto        : полка
breviero     : краткий молитвенник
brido        : узда
brigado      : бригада
briko        : кирпич; брусок
brili        : блестеть, сиять
bronzo       : бронза
broso        : щётка
brosxuro     : брошюра
brovo        : бровь
brui         : шуметь
bruli        : гореть; пылать
bruna        : карий, коричневый
bruska       : грубый, резкий
brusto       : грудь
bruto        : скот
bubo         : мальчишка, сорванец
bufedo       : буфет
bukedo       : букет
bulko        : булка
bulo         : ком, комок
bulteno      : бюллетень
bulvardo     : бульвар
bunta        : пёстрый, цветной
burdo        : шмель
burgxo       : буржуа, мещанин
burokrato    : бюрократ
buso         : автобус
caro         : царь
cedi         : уступать, смириться,
celebri      : сдаться
celo         : цель, пункт назначения
cemento      : цемент
cent         : сто
centimetro   : сантиметр
centralo     : станция
centro       : центр
cenzuri      : цензуровать
cepo         : лук
certa        : достоверный, определенный
cervo        : олень
cetera       : другой
cezaro       : цезарь, император
cifero       : цифра
cigaredo     : сигарета
ciklo        : цикл
cimbalo      : цимбалы
cimo         : клоп
cindro       : пепел, зола
cinika       : циничный
cirklo       : круг, окружность
cirko        : цирк
cirkonstanco : обстоятельство
cirkuli      : циркулировать
citi         : цитировать, упоминать
citrolo      : арбуз
citrono      : лимон
civila       : гражданский, штатский
civilizo     : цивилизация
civitano     : гражданин
cxagreni     : огорчать
cxambro      : комната
cxampiono    : чемпион
cxapelo      : шляпа; знак ^ в эсперанто
cxapitro     : глава
cxar         : так как, потому что
cxarlatano   : шарлатан
cxarma       : милый, очаровательный
cxaro        : повозка, колесница
cxasi        : охотиться, преследовать
cxe          : у, при
cxefa        : главный; решающий
cxelo        : клетка, ячейка; тюремная камера
cxemizo      : рубашка, сорочка
cxeno        : цепь, цепочка
cxerko       : гроб
cxerpi       : черпать, извлекать
cxesi        : прекращаться, останавливаться
cxevalo      : конь, лошадь
cxi          : (частица, обозначающая близость)
cxia         : любой, всякий
cxial        : с любой целью
cxiam        : всегда, всё время
cxicxerono   : гид, экскурсовод
cxie         : везде
cxiel        : по-всякому
cxielo       : небо
cxien        : во все стороны
cxies        : общий, всех
cxifi        : мять
cxifono      : тряпка, лоскут
cxio         : всё
cxiom        : всё, целиком
cxirkaux     : вокруг; около, приблизительно
cxirpi       : стрекотать, чирикать
cxiu         : каждый, всякий
cxokolado    : шоколад
cxu          : ли; разве
da           : обозначает меру, качество
damagxi      : повреждать, портить
damni        : проклинать
danci        : танцевать
dangxero     : опасность
danki        : благодарить
dato         : дата, число
dauxri       : длиться, продолжаться
de           : от
decembro     : декабрь
deci         : надлежать, подобать
decidi       : решать, принимать решение
dedicxi      : посвящать
defendi      : защищать
defetismo    : пораженчество
deficito     : недостаток, дефицит
defii        : вызывать, бросать вызов
definitiva   : окончательный
degeli       : оттаивать, таять
dejxori      : дежурить; служить, занимать должность
dek          : десять
deklami      : декламировать
deklaracio   : декларация
deklari      : декларировать; объявлять
deklivo      : откос, склон
dekoracio    : декорация, украшение, оформление; награждение
dekoro       : декорация, украшение, оформление; награждение
dekreto      : декрет
dekstra      : правый
delegacio    : делегация
delegi       : делегировать
delikata     : деликатный; изящный; легкий
delikto      : проступок
demandi      : спрашивать
demokratio   : демократия
demokrato    : демократ
demono       : демон, дьявол
demonstracio : демонстрация
demonstri    : демонстрировать
denova       : повторный
densa        : плотный, частый, густой
dento        : зуб
dependi      : зависеть
deprimi      : приводить в уныние
deputi       : избирать депутатом
derivi       : образовывать, производить
desaponti    : разочаровывать
descendi     : спускаться
desegni      : рисовать; чертить
despero      : отчаяние
destini      : предназначать
detalo       : подробность
detekti      : обнаруживать
detektivo    : сыщик, детектив
determini    : определять, устанавливать
detrui       : истреблять; разрушать
deveni       : происходить, возникать
devi         : быть обязанным
devizo       : девиз
dezerto      : пустыня
deziri       : желать
diablo       : дьявол, чёрт
diafana      : прозрачный
diafragmo    : диафрагма
diagnozo     : диагноз
diakrita     : диакритический
dialekta     : диалект
dialogo      : диалог
diapazono    : диапазон
dieto        : диета
difekti      : портить, повреждать
diferenci    : отличаться, различаться
difini       : назначать, определять
diftongo     : дифтонг
digesti      : переваривать
digno        : честь, достоинство
digo         : плотина, дамба
dika         : толстый
diktatoro    : диктатор
diligenta    : трудолюбивый; прилежный
dimancxo     : воскресенье
dimensio     : измерение, размер
dinamiko     : динамика
dio          : бог
diplomatio   : дипломатия
diplomato    : дипломат
diplomo      : диплом
dipsomanio   : дипсомания, запой
direkti      : направлять; управлять
direktoro    : директор
diri         : сказать
disciplino   : дисциплина
discxiplo    : последователь, ученик
disertajxo   : диссертация
diserto      : диссертация
disidento    : диссидент, инакомыслящий
disko        : диск, грампластинка
diskreta     : осторожный; скромный
diskuti      : обсуждать, дискутировать
dismeti      : раскладывать, размещать
disponi      : располагать; распоряжаться
dispozicio   : расположение; предписание
disputi      : спорить; ссориться
distanco     : расстояние, дистанция
distingi     : отличать, различать
distri       : развлекать; отвлекать
distribui    : распределять
distrikto    : район
diurno       : сутки
divano       : диван
diveni       : угадать, разгадать
diversa      : разный, разнообразный
diversio     : диверсия
dividi       : делить; разделять
do           : итак, следовательно
dogano       : таможенная пошлина
dogmo        : догма, догмат
doktoro      : доктор; врач
doktrino     : теория, учение, доктрина
dokumento    : документ
dolaro       : доллар
doloro       : боль
domagxi      : жалеть; щадить
domini       : доминировать, господствовать
domo         : дом, здание
donaco       : дар, подарок
doni         : давать, вручать
dorloti      : баловать; изнеживать
dormi        : спать
dorno        : колючка, заноза; шип
dorso        : спина, спинка; обратная сторона
doto         : приданое
dozo         : количество; доза порция
drato        : проволока, провод
dresi        : дрессировать; муштровать
drinki       : пьянствовать
droni        : утопать, тонуть
du           : два
dubi         : сомневаться
duelo        : поединок, дуэль
duko         : герцог
dum          : в течение, во время
dungi        : нанимать
dura         : суровый; твердый
ebena        : плоский, ровный
ebria        : пьяный, опьяненный
ebla         : возможный
ecx          : даже
edifi        : назидать, наставлять, поучать
eduki        : воспитывать; выращивать; развивать
edzo         : муж, супруг
efektiva     : эффективный, действительный; действенный
efekto       : эффект, впечатление
efemera      : мимолётный, эфемерный
efiki        : воздействовать; действовать
egala        : равный
egoismo      : эгоизм
egoisto      : эгоист
ehxi         : отзываться эхом
ehxo         : эхо; отклик
ekipi        : экипировать; оборудовать, оснащать
ekologio     : экология
ekonomio     : экономия; хозяйство
ekrano       : экран; ширма
eksceso      : эксцесс, излишество
eksciti      : волновать; вызывать; подстрекать
eksklamacio  : возглас, восклицание
eksklamo     : возглас, восклицание
ekskluziva   : исключительный
ekskursi     : совершать экскурсию
ekspansio    : распространение, экспансия
ekspedi      : отсылать, направлять
eksperimento : опыт, испытание, эксперимент
eksplodi     : взорваться
ekspluati    : эксплуатировать; использовать
eksponi      : экспонировать; излагать
ekspozicio   : выставка, экспозиция
ekster       : вне, снаружи
ekstermi     : истреблять, искоренять
ekstravaganco : необычность
ekstrema     : экстремальный; чрезмерный
ekvilibro    : равновесие
ekvivalento  : равноценность
ekzakta      : правильный, точный
ekzameni     : экзаменовать; исследовать
ekzekuti     : казнить
ekzemplero   : экземпляр
ekzemplo     : пример
ekzerzi      : упражнять, тренировать
ekzili       : ссылать, изгонять
ekzisti      : существовать
ekzota       : диковинный, экзотический
ekzotika     : диковинный, экзотический
el           : из
elasta       : упругий, гибкий
elefanto     : слон
eleganta     : изящный, элегантный
elegio       : элегия
eleksiro     : эликсир
elekti       : выбирать, избирать
elektro      : электричество
elemento     : элемент; основа, начало; стихия
elipso       : эллипс
elito        : элита
elokventa    : красноречивый
embaraso     : затруднение, помеха; смущение
emblemo      : эмблема
embrazuro    : амбразура
embusko      : засада
emerito      : пенсионер
emfazo       : эмфаза, напряжённость; выделение, подчёркивание
eminenta     : выдающийся, знаменитый
emisii       : излучать; испускать
emocio       : эмоция, волнение; чувство
en           : в
enciklopedio : энциклопедия
energio      : энергия
engagxi      : вовлекать; приглашать
enigmo       : загадка
enketi       : опрашивать
enorma       : громадный, огромный
ensemblo     : ансамбль; комплект; совокупность
entrepreni   : предпринимать, браться
entuziazmo   : энтузиазм
enui         : скучать
envii        : завидовать
epiteto      : эпитет; определение
epizodo      : эпизод
epoko        : эпоха
erao         : эра
erari        : ошибаться
erco         : руда
erudicio     : эрудиция
escepto      : исключение
eseo         : очерк, эссе
eskari       : избавиться, избежать
eskorto      : эскорт, конвой, охрана
esperanto    : эсперанто
esperantologio : эсперантология
esperantologo : эсперантолог
esperi       : надеяться, уповать
esplori      : изучать; расследовать
esprimi      : выражать
estetiko     : эстетика
esti         : быть, находиться
estimi       : уважать; ценить
estingi      : гасить
estrado      : эстрада
etagxo       : этаж
etapo        : этап
etendi       : простирать; расправлять
eterna       : вечный
etero        : эфир
etikedo      : этикетка, ярлык
etiketo      : этикет, церемониал
etno         : этнос, нация
etoso        : атмосфера, дух
euxfemismo   : эвфемизм
evento       : происшествие, событие
eventuala    : вероятный, возможный
evidenta     : очевидный, явный
eviti        : избегать, уклоняться
evolucio     : развитие, эволюция
evoluo       : развитие, эволюция
fabelo       : сказка, выдумка
fablo        : басня
fabriko      : фабрика, завод
faceto       : грань
facila       : лёгкий
fadeno       : нить, нитка
fajfi        : свистеть
fajro        : огонь
fako         : отдел, отделение; отрасль
fakto        : факт
faktoro      : фактор
fakturo      : фактура, накладная
fakultato    : факультет
faldo        : складка; сборка
fali         : падать; уменьшаться; понижаться
falsa        : фальшивый, неверный
fama         : знаменитый, славный
familiara    : фамильярный
familio      : семья
fandi        : плавить, растапливать
fanfaro      : фанфара
fanfaroni    : хвастаться
fantasta     : фантастический
fantazio     : фантазия, воображение
fantomo      : привидение, призрак
farbo        : краска
fari         : делать, совершать; изготовлять
farmo        : ферма; аренда
farti        : чувствовать себя; жить, поживать
fasxismo     : фашизм
fasxisto     : фашист
fatraso      : отбросы; хлам
fauxko       : глотка, зев; пасть
favora       : благосклонный
febla        : слабый
febro        : лихорадка; высокая температура
februaro     : февраль
federacio    : объединение; федерация
fekunda      : плодородный
felicxa      : счастливый
felo         : шкура, необработанный мех
femuro       : бедро, ляжка
fendo        : разрез, разрыв; трещина, щель
fenestro     : окно
fenomeno     : явление; феномен
ferio        : каникулы; отпуск
fermi        : закрывать
fero         : железо
fervora      : усердный, ревностный
festeni      : пировать
festi        : праздновать
festivalo    : фестиваль
feuxda       : феодальный
fiancxo      : жених
fiasko       : неудача, провал, фиаско
fibro        : фибра, волокно, жилка
fidela       : верный, преданный; достоверный
fidi         : доверять, верить, полагаться
fiera        : гордый, высокомерный
figuro       : фигура, изображение, образ
fikcio       : фикция, вымысел; фантазия
fiksi        : закреплять, фиксировать; назначать
filantropio  : филантропия, благотворительность
filatelo     : филателия
filio        : отделение, филиал
filmo        : фильм
filo         : сын
filologio    : филология
filologo     : филолог
filozofio    : философия
filozofo     : философ
financo      : финансы, денежные средства
fingro       : палец
fini         : кончить, завершить
firma        : крепкий, твердый
firmao       : фирма
fisko        : государственная казна
fisxo        : рыба
fiziko       : физика
fiziologio   : физиология
fizionomio   : физиономия
flago        : флаг
flamo        : пламя
flanka       : боковой, второстепенный
flari        : нюхать, обонять
flati        : льстить; ласкать; быть приятным
flava        : жёлтый
flegi        : ухаживать; поддерживать; выхаживать
fleksi       : гнуть, сгибать
flirti       : флиртовать; развеваться
floro        : цветок
flugi        : летать
flui         : течь
flustri      : шептать, шелестеть
foiro        : рынок, ярмарка
fojno        : сено
fojo         : раз
foko         : тюлень
fokuso       : фокус
folio        : лист
folkloro     : фольклор
fondi        : основать, учредить; обосновать
fonemo       : фонема
fonetiko     : фонетика
fono         : фон
fonologio    : фонология
fonto        : источник, родник
for          : вон, прочь
forgesi      : забыть
forgxi       : ковать
forko        : вилка
formacio     : формация; пласт, построение
formala      : формальный
formiko      : муравей
formo        : форма; образование
formulo      : формула
fornelo      : плита кухонная
forno        : печка
forta        : сильный
fortika      : крепкий, прочный
fortreso     : крепость
fortuno      : фортуна, судьба
forumo       : форум
fosi         : копать, рыть
fosilio      : ископаемое, окаменелость
fosto        : столб
fotelo       : кресло
foti         : фотографировать
fotografi    : фотографировать
fotografio   : фотография
fragila      : ломкий, хрупкий
fragmento    : фрагмент, отрывок; обломок
frakasi      : разбивать вдребезги; громить, сокрушать
frako        : фрак
frandi       : лакомиться
frapi        : стучать, ударять; поражать
frato        : брат
frauxlo      : неженатый, холостой; юноша
frazeologio  : фразеология
frazo        : фраза, выражение
frekventi    : часто посещать
fremda       : иностранный; чужой
freneza      : сумасшедший
fresxa       : свежий
frida        : холодный
fripono      : жулик, мошенник, плут
friti        : жарить
frivola      : легкомысленный, фривольный
frizi        : делать прическу, завивать волосы
fromagxo     : сыр
fronti       : обращаться
fronto       : фронт; передняя сторона
frosto       : мороз; озноб
frua         : ранний
frukto       : фрукт, плод; результат
frunto       : лоб
fugxi        : бежать; спасаться
fulmo        : молния
fumi         : дымить; курить
fumo         : дым
fundamento   : основа, фундамент
fundo        : глубина; дно; основание
funebro      : траур
funkcii      : функционировать, работать
funkcio      : функция
furagxo      : фураж
furioza      : бешеный; свирепый, яростный
furoro       : фурор
fusilo       : ружьё
fusxi        : делать кое-как; портить
futuro       : будущее; будущее время
gaja         : весёлый
gajni        : выигрывать; получать, приобретать
galerio      : галерея
galimatio    : бессмыслица, галиматья
galopo       : скачка, галоп
gamo         : гамма; диапазон
gapi         : глазеть, ротозейничать
garantii     : гарантировать, обеспечивать
gardi        : беречь, стеречь, хранить
gaso         : газ
gasto        : гость
gastrito     : гастрит
gazeto       : газета; журнал
generalo     : генерал
generi       : генерировать, плодить; производить
genetiko     : генетика
genio        : гений
gento        : племя; род; народ
genuo        : колено
geofiziko    : геофизика
geografio    : география
geografo     : географ
geologio     : геология
geologo      : геолог
gerilo       : партизанская война
gesti        : жестикулировать
gicxeto      : окошко, форточка
giganto      : великан, исполин
gimnastiko   : гимнастика
gimnazio     : гимназия
gitaro       : гитара
glacio       : лёд
gladi        : гладить, утюжить
glasnosto    : гласность
glaso        : стакан
glata        : гладкий, ровный
glavo        : меч
gliti        : скользить
globo        : шар; глобус
gloro        : слава
gluo         : клей
gluti        : глотать
gorgxo       : горло
gracia       : грациозный, изящный
gradacio     : градация; постепенность
grado        : градус; степень
gramatiko    : грамматика
gramo        : грамм
granda       : большой; великий
grandioza    : грандиозный
granito      : гранит
graso        : жир
gratuli      : поздравлять
grava        : важный, серьёзный
graviti      : тяготеть
grego        : стадо
greno        : зерно
grimaco      : гримаса
grimpi       : взбираться, подниматься
grio         : крупа
griza        : серый
grizharulo   : седой
groteska     : причудливый, забавный
grumbli      : ворчать, брюзжать
grundo       : грунт, почва; земля
grunti       : хрюкать
grupo        : группа
gubernio     : губерния
gudro        : гудрон; дёготь; смола
gulasxo      : гуляш
gusto        : вкус
guto         : капля
gvati        : выслеживать, подстерегать; подглядывать
gvidi        : руководить, править; вести, провожать
gxangalo     : джунгли, заросли
gxardeno     : сад, огород
gxemi        : стонать, охать, вздыхать
gxenerala    : всеобщий, генеральный
gxeni        : беспокоить; стеснять; мешать
gxenro       : жанр
gxentila     : вежливый
gxermo       : зародыш, росток
gxi          : он, она, оно (о вещи или о животном)
gxino        : джин
gxis         : до
gxoji        : радоваться
gxui         : наслаждаться
gxusta       : правильный, точный
ha           : а; ах, ха
hajlo        : град
haki         : колоть, рубить
hallo        : алло
halo         : зал, холл
halti        : останавливаться
hamako       : гамак
handikapo    : помеха; физический недостаток
hardi        : закалять
harmonio     : гармония, согласие
haro         : волос
hasti        : спешить, торопиться; мчаться
hauxto       : кожа (на человеке или животном)
haveno       : гавань, порт
havi         : иметь; владеть, обладать
hazardo      : неожиданность; случай
hejmo        : дом, семейный очаг
hela         : светлый, ясный; яркий
helpi        : помогать
heni         : ржать
hepato       : печень
herbo        : трава
heredi       : наследовать
herezo       : ересь, лжеучение
hermeta      : герметический
hermetika    : герметический
heroldo      : глашатай, герольд
heroo        : герой
heziti       : колебаться, пребывать в нерешительности
hibrido      : помесь, гибрид
hidrogeno    : водород
hieraux      : вчера
himno        : гимн
hiperbolo    : преувеличение, гипербола
hipokriti    : лицемерить
hirundo      : ласточка
historio     : история
hm           : гм
ho           : ох
hobio        : любимое занятие, хобби
hobojo       : гобой
hodiaux      : сегодня
hola         : алло; привет; эй
holmo        : холм
homo         : человек
homogena     : однородный
honesta      : честный
honorario    : гонорар
honoro       : почёт, честь
honti        : стесняться, стыдиться
horizontalo  : горизонталь
horizonto    : горизонт
horlogxo     : часы
horo         : час
hororo       : ужас
hospitalo    : больница
hotelo       : гостиница
hufo         : копыто
huligano     : хулиган
humana       : гуманный, человеколюбивый
humida       : влажный, сырой
humila       : покорный, смиренный, униженный
humoro       : настроение
humuro       : юмор
hundo        : собака
hura         : ура
hxalato      : халат
hxameleono   : хамелеон
hxanlando    : ханство
hxano        : хан
hxaoso       : хаос
hxato        : хата
hxemio       : (kemio)   химия
hxirurgio    : хирургия
hxolero      : холера
hxoralo      : хорал
hxordo       : хорда
hxoro        : хор
ia           : какой-то
iai          : кричать (об осле)
ial          : почему-то
iam          : когда-то
idealo       : идеал
identa       : идентичный, тождественный
ideo         : идея, мысль, представление
ideologio    : идеология
idilio       : идиллия
idiotismo    : идиотизм
idioto       : идиот
ie           : где-то
iel          : как-то
ien          : куда-то
ies          : чей-то
ignori       : игнорировать
ili          : они
ilumini      : освещать, озарять
ilustri      : иллюстрировать
iluzio       : иллюзия; заблуждение
imagi        : воображать
imiti        : имитировать
imperio      : империя
impertinenta : бесстыдный, наглый
impeti       : устремляться, порываться, бросаться вперёд
implici      : содержать в себе, подразумевать
imponi       : импонировать, внушать уважение
imposto      : налог, пошлина
impreso      : впечатление
improvizi    : импровизировать
impulso      : порыв, импульс; толчок
inauxguro    : торжественное открытие
inciti       : дразнить; раздражать сердить
indiferenta  : безразличный, равнодушный
indigni      : возмущаться
indigxeno    : абориген, коренной житель
indiki       : обозначать, указывать
individuo    : личность, индивидуум
industrio    : промышленность, индустрия
infano       : дитя, ребёнок
infarkto     : инфаркт
infero       : ад
inflacio     : инфляция
influi       : влиять
informi      : сообщать, информировать
ingxenia     : искусный, находчивый
ingxeniero   : инженер
inici        : вводить, посвящать (во что-нибудь)
iniciati     : проявлять инициативу; начинать
iniciatoro   : инициатор
injekti      : вспрыскивать, делать инъекцию
inklina      : склонный
inkluzive    : включительно
inkubo       : кошмар
insekto      : насекомое
insidi       : строить козни, ловушку; посягать
insigno      : значок
insisti      : настаивать
inspiri      : вдохновлять; внушать
instali      : установить, оборудовать; устраивать
instancio    : инстанция, орган государственного управления
instigi      : побуждать; подстрекать; натравливать
instinkto    : инстинкт
institucio   : учреждение
instituto    : институт
instrui      : преподавать; учить, наставлять
instrumento  : инструмент, орудие, прибор
insulo       : остров
insulti      : бранить, ругать; оскорблять
integra      : единый, целостный, неотъемлемый
intelekto    : разум, рассудок, интеллект
inteligenta  : образованный, смышлёный; интеллигентный
intenci      : намереваться, замышлять
intensa      : напряжённый, интенсивный
inter        : между, среди
intereso     : интерес
interjekcio  : междометие
interlingvistiko : интерлингвистика
intermiti    : перемещаться, быть прерывистым
intermonto   : ущелье
interna      : внутренний
interpreti   : объяснять; переводить (устно)
intervjuo    : интервью
intesto      : кишка
intima       : близкий, задушевный, интимный
intrigi      : возбуждать любопытство, интриговать
intuicio     : предчувствие, интуиция
inundi       : заливать, наводнять
invadi       : вторгаться, проникать; захватывать
invalido     : инвалид
inventi      : изобретать
inversa      : обратный, противоположный;
inversio     : обратный порядок, инверсия
inviti       : пригласить, позвать
io           : что-то
iom          : сколько-то
iri          : ходить, идти; двигаться
ironio       : ирония, насмешка
iu           : кто-то
izoli        : отделять, изолировать, разобщать
ja           : ведь, же
jako         : куртка, пиджак
jam          : уже
januaro      : январь
jaro         : год
jasmeno      : жасмин
je           : в, на
jelpi        : визжать; скулить
jen          : вон, вот
jes          : да
jogo         : йога
ju           : чем
jubileo      : юбилей, годовщина
judo         : еврей
juglando     : грецкий орех
jugo         : иго, гнёт, ярмо
jugxi        : судить; полагать; обсуждать, решать
juki         : зудеть, чесаться
julio        : июль
juna         : молодой, юный
jungi        : запрягать
junio        : июнь
jupo         : юбка
juro         : право, юриспруденция
justa        : справедливый, правильный
justico      : правосудие, юстиция
